data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Nhóm màu : đen dung_lượng lưu_trữ rộng_rãi 128gb , tuổi_thọ pin lâu_dài , chất_lượng máy_ảnh tuyệt_vời để chụp lại khoảnh_khắc , tuổi_thọ pin lâu_dài , chất_lượng máy_ảnh tuyệt_vời để chụp lại khoảnh_khắc , chất_lượng máy_ảnh tuyệt_vời để chụp lại khoảnh_khắc ,",Positive,Positive,,,,,,,,,
"Màu_sắc : bạc Phân_loại : nguyên seal tính_năng : chưa khui , nguyên siêu , chất_lượng : máy nhật",,,,,,Positive,,,,Positive,
"Chất_lượng sản_phẩm : không Đúng với mô_tả : không Tính_năng nổi_bật : không có hàng rẻ thì nó đểu thôi . lúc đầu nhìn quả ảnh cứ tưởng cái nào cũng giống nhau ai dè ảnh 1 đằng màu điện_thoại 1 nẻo ... sử_dụng thì bj lag giật , rõ là 105 gb mà tải game về lại cảnh_báo dung_lượng bj giới_hạn . nói_chung thì mua về cho nó có trải_nghiệm thôi chứ để mà sử_dụng là không ăn_thua . tốt hơn là ra ngoài quán mua cũ sử_dụng cho nó tốt chứ nhìn giá trên này i như hàng lậu",,,Negative,,,,Negative,,,,
điện_thoại tui bị đơ quá nhắn_tin đổi hàng cửa_hàng không trả_lời luôn,,,Negative,,,,,Negative,,,
hết pin nhanh quá.chất lượng camera tốt cho những bức ảnh tuyệt đẹp .,Negative,Positive,,,,,,,,,
"Lỗi phần_mềm thiếu tài_liệu camera trước mờ , pin tụt nhanh . Máy hay bị treo và khởi_động lại , không có sách hướng_dẫn đầy_đủ như quảng_cáo , camera selfie thì mờ như có sương_mù .",Negative,Negative,,,,,,,,,
"Tốt , rẻ , chất_lượng . Giao nhanh , trải_nghiệm tốt phù_hợp giá tiền",,,,,,,Positive,,Positive,,
"máy bị hư cả 2 nút nguồn , pin chai nặng , máy bị bong phần lưng dính không chắc_chắn , lỡ làm tắt nguồn là hết cứu vô_phương bật lên được ",Negative,,,,Negative,,,,,,
"Nhóm màu : đen Dung_lượng lưu_trữ : 6 gb +128 gb máy_ảnh chất_lượng cao cho những bức ảnh tuyệt đẹp , tuỳ chọn thanh_toán dễ_dàng và tiện_lợi , tuỳ chọn màu_sắc rực_rỡ ,",,Positive,,,,,,,,,
Color : đen-xl quần vải mỏng quá,,,,,,,,,,,Neutral
Nhìn ngoài đời xấu hơn trong hình nhiều vỏ trầy với nhựa chỗ viền bị nứt,,,,,Negative,,,,,,
"Nhóm màu : pink Dung_lượng lưu_trữ : 128gb chất_lượng camera ấn_tượng ! , màu_sắc tuyệt đẹp , khó lựa_chọn ! ,",,Positive,,,Positive,,,,,,
"cửa_hàng tư vấn rất nhiệt tình , giao hàng cũng nhanh , đóng gói sản phẩm kĩ , đầy đủ phụ kiện , cạnh bị xước vài chỗ , màn bị ám nhẹ nhưng mình mua 95% nên không thắc mắc gì , sau 1 ngày sử dụng thì mình thấy máy dùng ngon , pin good.Chu ́c cửa_hàng có thêm nhiều thành công",Positive,,,Positive,,Positive,,Positive,,,
Giao không đúng màu máy mau hết pin,Negative,,,,,,,,Negative,,
"máy sử_dụng mới 3 ngày chết rbg , pin ảo , rom nội_địa , sử_dụng làm máy phụ tạm ổn",Negative,,,,,,,,,,
"Điện_thoại dùng ngon , săn sale nhưng giá chưa ổn lắm , tuy_nhiên giao nhanh hơn dự_kiến . Ảnh và video mang tính nhận xu",,,,,,,Positive,,Positive,Positive,
"Nhóm màu : xanh chất_lượng camera tuyệt_vời để ghi lại những khoảnh_khắc , thời_lượng pin lâu_dài ,",Positive,Positive,,,,,,,,,
Mua về sài chưa tới 10 ngày ma cửa_hàng nhắn_tin trả lại vậy là thui rồi của hàng làm_ăn gì đeo chịu tránh nhiệm gì hết làm_ăn kiểu này thất đúc chết,,,,,,,,Negative,,,
"Chất_lượng sản_phẩm : tệ Đúng với mô_tả : không thật Tính_năng nổi_bật : yếu máy 4tr3 mà hay hỏng , không xứng giá , nên mua hãng khác",,,,,,,Negative,,,Negative,
"Tính_năng nổi_bật : hàng giao đúng hẹn.máy đẹp , sử_dụng tốt",,,,,Positive,,,,Positive,,
Máy mới tốt lắm . Nhân_viên fpt giao tại nhà hoặc ra ch nhan đều được,,,,,,,,,,Positive,
"Màu_sắc : đen Phân_loại : không hộp mới + sạc 18w máy kg ngon , đứng máy thường_xuyên .......",,,Negative,,,Negative,,,,,
"Thối gian hiệu_năng ì , shipping hỏng",,,Negative,,,,,,Negative,,
"Cũng ổn với giá này , còn chất_lượng thì chưa đánh_giá được phải sử_dụng lâu mới biết , sử_dụng chơi tạm thì được còn sử_dụng thiệt thì cũng không tốt lắm",,,,,,,Neutral,,,,
"Máy đẹp , pin tốt 10₫ . cửa_hàng hỗ_trợ khách nhiệt_tình . Mặc_dù có chút vấn_đề nhưng cửa_hàng và mình đã tìm được phương_án xử_lý . Giao hàng nhanh , mọi người yên_tâm mua hàng nhé .",Positive,,,,Positive,,,Positive,Positive,,
Chụp hình tốt nha mọi người .,,Positive,,,,,,,,,
"Phiên_bản : 512 gb / 12 gb quốc_tế cửa_hàng rất uy_tín nhân_viên tư_vấn thì rất nhiệt_tình , , nói_chung sẽ ủng_hộ cửa_hàng tiếp",,,,,,,,Positive,,,
Cửa_hàng không hỗ_trợ khách_hàng đổ trả . Viện lắm lý_do đổ lỗi cho khách_hàng mọi người không mua sop này nữa,,,,,,,,Negative,,,
cửa_hàng giao hàng nhanh sản_phẩm đẹp nguyên siu không có lỗi gì không có gì để chê cả,,,,,Positive,,,,Positive,,
Màn_hình hiển_thị màu_sắc ở mức chấp_nhận được . Giá_cả của sản_phẩm tương_đối phù_hợp .,,,,Neutral,,,Positive,,,,
"Nhóm màu : desert Dung_lượng lưu_trữ : 256gb giao hàng nhanh_chóng , đóng_gói cẩn_thận , hàng đúng như mô_tả , sản_phẩm đúng là của apple 16 pro max .",,,,,,Positive,,,Positive,,
Chất_lượng sản_phẩm : ổn máy mượt và ngon trong tầm giá mỗi cái màn nó bị ám như này nhưng không sao,,,,Neutral,,,Positive,,,,
"Hàng rất đẹp , cao_su dầy , chắc_chắn , giá phải_chăng , sẽ ủng_hộ thêm",,,,,Positive,,Positive,,,,
hàng chất_lượng tốt đúng với mô_tả,,,,,,,,,,Positive,
"Sản_phẩm nổi_trội mặt hiệu_năng chơi game và cảm_giác mượt_mà của animation , dùng rất thoải_mái thông_báo fix theo ytb thì sẽ ổn cỡ 95-98% , nói_chung dùng làm máy chính cũng được , rất hài_lòng ^ ^",,,Positive,,,,,,,,
Điện_thoại giá cao quá mà viền bị tróc sơn nhìn chán thật_sự,,,,,Negative,,Negative,,,,
"Khả_năng lưu_trữ : 256gb Nhóm màu : nhiều màu máy đẹp sài ổn , cửa_hàng tư_vấn nhiệt_tình",,,,,Positive,,,Positive,,,
hiệu_năng đa_nhiệm cực kém . máy bị kích_hoạt bảo_hành trước . pin sạc đầy phải chờ 3 tiếng . đóng hàng thiếu củ sạc . ship chậm hơn 5 ngày so với dự_kiến ban_đầu,Negative,,Negative,,,Negative,,Negative,Negative,,
"Color : đen-2 xl lý_tưởng cho hoạt_động thể_thao , tuyệt_vời cho phong_cách đường_phố , có_điều quá mỏng",,,,,,,,,,,Neutral
"cũng bình_thường , nhưng nếu chúng_mày muốn chs mấy game kiểu  5 thì nên mua máy khác nha . mà t tải tiktard rồi vô mà màn_hình cứ đen thùi lùi , xong tắt đi_lại bật thì màn_hình vẫn cứ đen thùi lùi ( lúc đấy không thao_tác được gì ) . nói_chung 900k nên cũng không sủa gì thêm⚠",,,,Negative,,,Neutral,,,,
"Tạm để 4 sao . Nhìn sơ là thấy không phải máy nguyên zin , lắp lưng , vỏ thay rồi . Keo thừa nhiều và thô ở phần lắp lưng , bị nồi và bong lên . Đặc_biệt camera bị sước mắt và bụi bẩn nhiều . Máy nhận được so với giá vậy là ổn , chỉ hơi khó_chịu phần camera bị mờ沈 . Test cục sạc kèm theo thông_số công_suất ảo , những vẫn sạc được mua 2 máy mà bị cả 2 mới đau e làm sửa_chữa , cũng biết chút_ít . # Mấy nữa e tháo vệ_sinh camera rồi xem nội_thất trong ntn rồi quay lại để trả_lời cho câu nguyên zin "" có đúng không . """,,Negative,,,Negative,,Positive,,,,
Nhóm màu : desert Dung_lượng lưu_trữ : 256gb giao hàng nhanh . đóng cẩn_thận,,,,,,Positive,,,Positive,,
không biết sao cùng là hàng chính hãng mà hàng ở đây rất khoai . bóc seal có bụi trong màn luôn 嵐 . vì còn mỗi cửa_hàng này còn hàng không chắc cũng không mua ở đây 嵐,,,,,,,,,,Negative,
"Điện_thoại mới hoàn_toàn , rất đẹp và đầy_đủ tính_năng , tuyệt_vời",,,,,Positive,,,,,,
"Hàng về đầy_đủ , full box có seal mới , cho cửa_hàng 5 sao vì giao hàng nhanh",,,,,,,,,Positive,,
Tính_năng nổi_bật : hiện_tại đang tròn quá_trình test nên chưa_thể đánh_giá đúng được sử_dụng các chức_năng tốt,,,,,,,,,,Neutral,
Qua dùng được mấy ngày thấy cảm_ứng mượt.chịu va_đập và nước không dám thử.pin 6600 mà không được như kỳ vọng.cảm thấy trôi pin khá nhanh so với dung lượng.đó là đánh_giá cá_nhân của mình,Negative,,,,,,,,,,
Giao hàng nhanh . Chất_lượng tốt phù_hợp với nhu_cầu của các mẹ .,,,,,,,,,Positive,,
trải_nghiệm mua hàng tồi_tệ nhất từ cửa_hàng mà vận_chuyển . cửa_hàng ghi địa_chỉ hà_nội mà giao hàng gần 1 tuần mà điện_thoại hỏng cần máy gấp vận_chuyển thì lỗi đơn phải tự tìm bưu_cục tự đến lấy cửa_hàng lớn như fpt mà không có kho tại hà_nội quá tệ trong khi các cửa_hàng khác giao hàng trong ngày,,,,,,,,,Negative,,
"Color family : random color sản_phẩm : chất_lượng sản_phẩm bên cửa_hàng rất tuyệt , cửa_hàng bán hàng uy_tín chất_lượng , và giá_cả rất bình_dân .... cảm on cửa_hàng đã giao hàng nhanh và hàng chất_lượng . rất đáng nên mua nhé mọi người",,,,,,,Positive,,Positive,,
"Màu_sắc : trắng-lock sim sản_phẩm okay ..... Đẹp .... , ...",,,,,,,,,,Positive,
Màu_sắc : đen Phân_loại : nguyên seal đợi 7 ngày trải_nghiệm sẽ quay lại đánh_giá thêm . Giao hàng nhanh,,,,,,,,,Positive,,
Giờ mới để_ý . 1 Cam bị lệch . Không bít có phải dựng không . Sử_dụng tới h chưa thấy bịnh tật gì hết . Sau hơn 1 tháng 1 tý thì em nó chửa tướng ra luôn rồi .,,Negative,,,,,,,,,
"Đã nhận đủ sản_phẩm , điện_thoại mượt , đang làm_quen cách sử_dụng . Tai nghe chất_lượng tốt , nghe nhạc bass căng , đồng_hồ đẹp .",,,Positive,,,,,,,,
hình_ảnh mang tính_chất tham_khảo sẽ ủng_hộ cửa_hàng lần sau giao hàng nhanh đúng mô_tả nên mua,,,,,,,,,Positive,,
Sản_phẩm được đóng_gói theo tiêu_chuẩn của nhà_sản_xuất .,,,,,,Neutral,,,,,
"Shipping không thông_báo trước . Gọi đột_ngột . Vận_chuyển không chuẩn . Shipper gọi đến mà không báo trước , làm mình không kịp nhận . Camera chụp tối noise",,Negative,,,,,,,Negative,,
"cửa_hàng đóng_gói chắc_chắn , sản_phẩm tốt đúng mô_tả , uy_tín , đã mua 2 lần của cửa_hàng . Note 13 pro 5g và note 13 5g",,,,,,Positive,,,,,
Giá rẻ nhưng mang trong mình một ngoại_hình của những chiếc điện_thoại đắt tiền rất ưng lần sau sẽ ủng_hộ cửa_hàng tiếp,,,,,Positive,,Positive,,,,
"Lần đầu trải_nghiệm mua hàng bên cửa_hàng cảm_thấy rất ok làm_ăn uy_tín cửa_hàng đóng_hộp kỹ_càng , máy mình dùng gần 1 tháng rồi mới đánh_giá hàng_không lỗi_lầm gì , màn nét keng đẹp . cảm_ơn cửa_hàng",,,,Positive,,Positive,,,,,
"Sản_phẩm : phần_mềm youtube xem phim không được , cứ xoay vòng_vòng .",,,,,,,,,,Negative,
"Mình xài gần 1 tháng rồi mới đánh_giá , nói_chung điện_thoại mỏng nhẹ màn_hình tràn viền , lâu_lâu giống như cảm_ứng không nhạy lắm . Các chức_năng chưa khám_phá hết . Sơn ở đầu_đuôi điện_thoại bị phai màu , mà xài ốp thì không quan_trọng lắm . Che đi là được . Pin trâu , xìa liên_tục từ sáng tới tối mới hết pin . Nếu chỉ nghe gọi không chắc cũng tầm 4,5 ngày . không dám thử chống nước với chống va_đập trầy_xước nhưng với tầm giá hơn 7 củ thì con này đáng mua nha .",Positive,,,Positive,Positive,,Positive,,,,
"Màu_sắc : bạc Phân_loại : nguyên seal được nhé ! mua cho bố mình sử_dụng , ưng lắm , hàng mới_coong , sẽ ủng_hộ",,,,,,,,,,Positive,
pin sạc không ổn_định hay ngắt_quãng . camera selfie filter làm mặt to . ship giao thiếu_phụ kiện phải đòi .,Negative,Negative,,,,,,,Negative,,
"pin chỉ 4 giờ dùng văn_phòng , đóng_gói không chống bụi . camera đêm thiếu độ sáng , chat hỗ_trợ treo máy .",Negative,Negative,,,,Negative,,Negative,,,
"Máy_OK chiến game mượt , camera OK Máy đẹp không trầy_xước .....",,Positive,Positive,,Positive,,,,,,
cũng ổn máy mượt nhanh nóng mua về chs game,,,Positive,,,,,,,,
"Dung_lượng lưu_trữ : 128gb Nhóm màu : xanh kẹo ngọt Phân_loại sản_phẩm : 8gb nhắn cửa_hàng toàn tin nhắn trả_lời tự_động hơi chán tới giờ máy vẫn đang chạy ổn , nhưng_mà mình thấy mặt sau ở ngoài không đẹp như hình đâu , có gì sẽ đánh_giá thêm sau",,,,,Negative,,,Negative,,,
"giao hoả_tốc nhanh , đóng_gói kĩ , đã mua 3 máy bên cửa_hàng , tính mua thêm cái nữa mà hết voucher hẹn sốp sale tháng sau ta gặp nhau",,,,,,Positive,,,Positive,,
"máy rất đẹp , quảng_cáo đúng sự_thật , điện_thoại tốt hơn mong_đợi , chủ cửa_hàng thấy thiện nhiệt_tình cửa_hàng làm_ăn có tâm , chúc cửa_hàng bán ngày_càng đông khách nhé",,,,,Positive,,,Positive,,,
"Máy fullbox đầy_đủ phụ_kiện , đã có miếng dán sẵn của hãng , máy likenew , máy chưa kích_hoạt luôn , mình mở máy là kích_hoạt",,,,,,,,,,Positive,
"Cảm_biến tiệm_cận lỗi không có bảo_hành nhiều bloatware ,",,,,,,,,Negative,,Negative,
Tính_năng nổi_bật : không Chất_lượng sản_phẩm : m giao hàng nhanh . Với giá tiền đó sản_phẩm tốt . Lan sau mua gi se ủng_hộ cửa_hàng,,,,,,,Positive,,Positive,,
Hàng chất_lượng tốt,,,,,,,,,,Positive,
"Bảo_hành rườm_rà bảo_hành dễ_dàng nhưng không phải gửi đi gửi lại , tốn_phí ship",,,,,,,,Negative,,,
"nút bấm lỏng_lẻo dung_lượng không đúng bluetooth kết_nối kém . mua bản 128gb nhưng thực_tế chỉ có 64gb , bluetooth liên_tục bị ngắt kết_nối , các nút bấm cảm_giác rất rẻ_tiền .",,,,,Negative,,,,,,
cửa_hàng đóng_gói cẩn_thận hỗ chợ nhiệt_tình,,,,,,Positive,,Positive,,,
10Đ không có nhưng hàng chất giá mềm ,,,,,,,Positive,,,,
"Quá hot so với giá tiền đã bỏ ra . Thật may may_mắn khi đã chọn đúng cửa_hàng để mua . Ban_đầu hơi lo_lắng khi mua_sắm online , nhưng đến khi được cửa_hàng tư_vấn nhiệt_tình và nhận được sản_phẩm thì rất ưng_ý luôn . Máy chất như nước_cất luôn các bác ak . Bác nào còn phân_vân thì múc ngay cho nóng đi .",,,,,,,Positive,Positive,,,
"Màu_sắc : đen Phân_loại : nguyên seal máy đã active sẵn , còn lên luôn miui 14 . Thích ở bản cũ hơn vì đã lên rồi là không xuống được . Máy đẹp không trầy_xước",,,,,Positive,Positive,,,,,
thiết_kế đơn_giản gọn_nhẹ . hơi bất_ngờ với loa tích_hợp nhưng khá to và chất_lượng .,,,,,Positive,,,,,Positive,
sạc không phải sạc type đã được thay pìn kém không có cốc sạc theo kèm,Negative,,,,,,,,,,
Chất_lượng sản_phẩm : tạm Đúng với mô_tả : ✓ Tính_năng nổi_bật : sử_dụng sưởi ấm bàn_tay khi lanh rất tốt .. nóng 39 ° tiền_nào_của_ấy .. nghe gọi ô sờ kê ...,,,,,,,Neutral,,,,
Chất_lượng sản_phẩm tuyệt_vời đóng_gói rất đẹp và chắc_chắn sẽ ủng_hộ cửa_hàng,,,,,,Positive,,,,,
Màu_sắc : đen Phân_loại : likenew 99% sau hơn 20 ngày sử_dụng đây là một_số lưu_ý . Dành cho mọi người nếu quyết_định mua máy này mọi tính_năng về mạng xã_hội tốt nghe gọi tốt_ngày đầu_tiên mới mua ấy nó sẽ bị hơi lag nhưng_mà sử_dụng hơn một tuần nó sẽ tối_ưu sẽ mượt . Còn về phần chơi game nếu_như chơi liên_quân bật mắc nó sẽ hơi ấm nhẹ thôi . Còn về phần pin chơi game nếu_mà chơi liên_tục thì cũng từ 4 đến 5 tiếng . Còn về phần ngoại_hình của máy thì trong thời_gian mình sử_dụng có một vấn_đề nho_nhỏ nhưng_mà cửa_hàng cũng đã hỗ_trợ giải_quyết xong nhưng_mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải_trí chụp ảnh tốt không có vấn_đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng_giá hơn mọi người mua về nghe gọi mạng xã_hội chụp ảnh thì hết bài rồi,Negative,Negative,Negative,,,,,,Negative,,
Hàng 97% nhưng hơn mong_đợi . có chút sước nhẹ viền ( không tránh được máy mấy năm rồi mà ) được cái màn không sước không ám . Anh chủ cửa_hàng thân_thiện đặc_biệt tư_vấn rất nhanh và nhiệt_tình . anh_em ủng_hộ anh ý nhé . 5 sao,,,,Positive,,,,Positive,,,
"Giao hàng nhanh , sản_phẩm chất_lượng tốt như quảng_cáo . Sẽ quay lại tiếp !",,,,,,,,,Positive,,
"Giao hàng nhanh , đúng mẫu , giá tốt , chất_lượng tốt , đóng_gói chắc_chắn , sẽ mua tiếp lần sau .",,,,,,Positive,,,Positive,,
ngoại_hình rất mới . sử_dụng rất tốt . tuy hơi xui gặp phải đơn_vị ship ninja van giao hàng rất lâu,,,,,Positive,,,,Negative,,
Máy đẹp nguyên seal có đặc phải đợi hơi lâu thôi mình thấy nhiều chỗ bán phải rạch seal rồi dán tem làm mất thẩm_mỹ máy,,,,,Positive,,,,,,
Nhóm màu : sky blue độc_quyền Dung_lượng lưu_trữ : 12/2 56gb cửa_hàng giao nhanh ! hàng nguyên siêu . màu mới ra nhìn đẹp ! đóng_gói cẩn_thận ! mình rất hài_lòng !,,,,,Positive,Positive,,,Positive,,
"Màu_sắc : vàng điện_thoại đẹp bắt sóng 4g rất mạnh cửa_hàng đóng_gói hàng rất kĩ mình mua cái này là cái thứ 2 rồi , mẹ mình lớn_tuổi rồi sử_dụng rất thích pin tốt lâu hết .",Positive,,,,Positive,Positive,,,,,
"Màn_hình hiển_thị ở mức khá , màu_sắc không quá nịnh mắt .",,,,Neutral,,,,,,,
"Mình tậu về gần 1 tháng . Sử_dụng bắt_đầu hơi có vấn_đề nhẹ rồi : ) ) mặc_dù không tải game gì nặng , chỉ mỗi liên_quân",,,,,,,,,,Negative,
Ngon trong tầm giá .,,,,,,,Positive,,,,
Đúng với mô_tả : tốt Chất_lượng sản_phẩm : ngon trong tầm giá Tính_năng nổi_bật : tốt,,,,,,,Positive,,,,
"Kém chất_lượng sai dở hiệu_năng không mượt . Chăm_sóc kh vô_ích . ,",,,Negative,,,,,Negative,,,
"Nhóm màu : đen Dung_lượng lưu_trữ : 6 gb +128 gb tuỳ chọn thanh_toán dễ_dàng và tiện_lợi , tuổi_thọ pin lâu_dài , hiệu_suất nhanh và đáng tin_cậy . ,",Positive,,Positive,,,,,,,,
Hàng giao nhanh . Chất_lượng sản_phẩm phù_hợp giá tiền . Sẽ ủng_hộ thêm,,,,,,,Positive,,Positive,,
"Color family : color random sản_phẩm : tốt , 5 sao",,,,,,,,,,,Neutral
"Sản_phẩm ngon , ít xước xác , nhìn còn mới , dùng khá ok , thích_hợp mua cho phụ_huynh",,,,,Positive,,,,,Positive,
máy quá lag khi mở nhiều tab . hiệu_năng không ổn_định như quảng_cáo . pin hao nhanh bất_thường . lướt web thôi mà máy đã nóng ran pin tụt 1% / phút . chăm_sóc khách_hàng không bắt máy luôn,Negative,,Negative,,,,,Negative,,,
Camera sau có độ_phân_giải 12MP .,,Neutral,,,,,,,,,
"Màu_sắc : đen Phân_loại sản_phẩm : có sạc  màn_hình độ_phân_giải hd + ,",,,,Neutral,,,,,,,
"Sản_phẩm đúng như mô_tả , đóng_gói cẩn_thận . Điện_thoại đã được cài sẵn tiếng việt lắp sim vào là dùng",,,,,,Positive,,,,,
"Về pin , mình sẽ sử_dụng vài ngày rồi mới theo_dõi chu_kỳ sạc của nó .",Neutral,,,,,,,,,,
giao hàng nhanh_chóng nhân_viên gọi điện hỏi chị tiết địa_chỉ giao hoặc được lựa_chọn ra cửa_hàng lấy,,,,,,,,,Positive,,
Chất_lượng sản_phẩm : Pin có dung_lượng 3000mAh . Đúng với mô_tả : Thời_lượng pin ở mức trung_bình .,Neutral,,,,,,,,,,
"Tào_lao bịa_đặt trắng_trợn chụp hình ban_đêm đen_thui như mực , có cũng như_không ,",,Negative,,,,,,,,,
Camera sau có độ_phân_giải chính_xác theo thông_số kỹ_thuật .,,Neutral,,,,,,,,,
"máy mới_tinh , cảm_biến nhậy , tải dữ liều rất nhiều nhưng vẫn không lag ( video test sau khi tải dữ_liệu ) dung_lượng thật chỉ 128gb ram 8gg , cảm_thấy hài_lòng tháng sau có_thể ghé mua thêm 1 con",,,,,,,,,,Positive,
"Đúng với mô_tả : đúng y với mô_tả gói hàng kĩ điện_thoại mới , pin mới , cục sạc mới đầy_đủ máy mới về mới sử_dụng hoạt_động tốt . nhưng thời_gian độ bền thì coi thử xem thế_nào . tặng cửa_hàng 5 sao",Positive,,,,,Positive,,,,,
"Hàng đúng chuẩn chất_lượng , tình_cờ mua đúng hôm sale nên có 23tr , kích_hoạt bảo_hành từ ngày đặt mua",,,,,,,Neutral,Neutral,,,
"Máy có ngoại_hình đẹp , dùng khá mượt , antutu khá cao dùng 2 ngày thấy khá ổn , dùng làm máy phụ là phù_hợp",,,Positive,,Positive,,,,,,
Điện_thoại rất tốt máy pin trâu 6000 màn_hình nét 120hz bền đẹp,Positive,,,Positive,,,,,,,
"Điện_thoại nhìn gần như mới mọi thứ ổn định.mượt thì không_thể so_sánh với iPhone.camera nét hơn chiếc iphon 11pro của mình về ban_ngày nhưng ban_đêm thì ngược lại.trước khi mua mình nhờ cửa_hàng tess kỹ cho mình nhưng có_lẽ cửa_hàng quên tess vân tay , máy mình mua về cài được vvân tay nhưng khi mở khoá lại không được.dù sao cũng cho cửa_hàng 5 sao",,Negative,,,,,,,,,
Dịch_vụ khách_hàng phản_hồi theo quy_trình và cung_cấp thông_tin cần_thiết .,,,,,,,,Neutral,,,
"Thảm_hoạ lừa_đảo tinh_vi pin như_điên , sạc đầy sử_dụng nửa tiếng là tắt ngúm luôn ,",Negative,,,,,,,,,,
"Tính_năng nổi_bật : nfc , khoá khuôn_mặt , khoá vân tay bên nút đỏ ( nhạy , nhanh ) Đúng với mô_tả : chính_xác Chất_lượng sản_phẩm : tốt ! màn_hình 120hz mượt , cầm đầm / nặng_tay , dễ_dàng tắt các ứng_dụng chạy ngầm . có nfc , khoá khuôn_mặt , khoá vân tay ( bên hông nút đỏ ) , khoá mã pin và khoá mật_khẩu dài chữ . mặt sau nhựa nhám chắc_tay , viền cạnh cứng_cáp , nhiều chức_năng hay_ho , độ nhạy tốt , có_thể gắn thêm thẻ nhớ ngoài . camera sau tốt , chọn chế_độ “ nét ” trong mục khác để lấy nét tốt nhất . camera trước : ” … . ” , sử_dụng làm điện_thoại phụ hotline tốt ! có chụp xoá ai . test thử 4 game có sẵn trong máy : không giật lag , pin trâu . ai test liên_quân hay gì tự mua test ! tui không biết ! lướt ytb và tt độ hiển_thị ổn .",Positive,Positive,Positive,Positive,,,,,,,
"máy mới 90% . có máy , có củ sạc hoco , dây sạc cũng hoco . không hỗ_trợ sạc nhanh . không có dây tai nghe , không có miếng bảo_vệ màn_hình . anh_em mua về phải bổ_sung thêm cái mình gọi là không có . cửa_hàng đã trừ những khoản đó rồi nên cho ra giá_thành như_vậy . đại_khái là không hề rẻ . thực_sự cần thì hãy mua 梁梁梁",Negative,,,,,,Negative,,,,
"Màn_hình có kích_thước vừa_phải , dễ_dàng thao_tác bằng một tay . Phần_mềm đi kèm tương_đối ổn_định , ít gặp lỗi .",,,,Neutral,,,,,,Neutral,
"Đúng với mô_tả : đúng Chất_lượng sản_phẩm : ổn Tính_năng nổi_bật : không có phù_hợp với giá tiền , điện_thoại chính hãng mới 100%",,,,,,,Positive,,,Positive,
"Chăm_sóc khách_hàng không cho đổi trả . Chính_sách cứng_nhắc . Hỗ_trợ sau bán hàng kém . Máy lỗi nhỏ nhưng không được đổi_mới , chỉ được sửa_chữa . Shipping nhanh nhưng đóng_gói không cẩn_thận",,,,,,Negative,,Negative,Positive,,
sản_phẩm êm chạy mượt nên mua cửa_hàng uy_tín giao hàng nhanh,,,Positive,,,,,,Positive,,
"máy ngon màn_hình đẹp , phụ_kiện đi kèm rất oke , sạc nhanh , nói_chung ngon trong tầm giá .",,,,Positive,,,,,,,
mình thấy điện_thoại sử_dụng ổn khá mượt nhưng lâu_lâu không thông_báo tin nhắn,,,Positive,,,,,,,Positive,
"Giao hàng hơi lâu thôi ạ , còn máy bóc nguyên sel a sử_dụng mới biết được ạ",,,,,,,,,Negative,,
Đúng với mô_tả : hàng đúng với mô_tả Chất_lượng sản_phẩm : đóng_gói cẩn_thận Tính_năng nổi_bật : mới khui hộp . chưa sài nên chưa cảm_nhận,,,,,,Positive,,,,,
"Hàng không như hình , điện_thoại kh đúng như hình , dung_lượng có 10gb mà trên hình có hơn 1trăm gb , không nên mua , liêu ý không nên mua",,,,,,,,,,Negative,
"Hiệu_năng và pin đều ở mức trung_bình , đủ để hoàn_thành các công_việc thường_ngày .",Neutral,,Neutral,,,,,,,,
"Nhanh nóng hoàn_toàn không lag giật , loa rè . Máy nóng như lò_vi_sóng , chơi game 5p đã thấy giật lag , loa thì bé và rè . Quá thất_vọng với số tiền bỏ ra .",,,Negative,,,,Negative,,,Negative,
"Hàng chính hãng , cửa_hàng nhiệt_tình tư_vấn nhiệt_tình",,,,,,,,Positive,,,
"sử_dụng được vài bữa tự tắt nguồn nhắn_tin cửa_hàng bảo_hành không trả_lời được 1 câu tử_tế , , mua hàng trên mạng khuyên mọi người nên chọn chỗ uy_tín đừng như mình ạ , , giờ thua rồi",,,,,,,,Negative,,,
"Giá sale khá ổn so với thông_số máy , máy nặng cầm khá chắc_tay good , pin tốt , sạc nhanh chỉ tầm 1,5 tiếng là đầy .",Positive,,,,Positive,,Positive,,,,
đa nhan được hang may đep cửa_hàng uy tin 100 sao,,,,,Positive,,,,,,
Nhóm màu : màu đen sản_phẩm tot chất_lượng giong nhu mo ta cảm_ơn you nhieu a !,,,,,,,,,,Positive,
Đúng với mô_tả : đúng với mô_tả máy nhẹ chơi game khá ổn . hộp đầy_đủ phụ_kiện ốp sạc và tai nghe . đặt trước có đồng_hồ nữa,,,Positive,,,,,,,,
"Phần_mềm lỗi vặt , nhiều app bị treo . Khác với mô_tả hệ_điều_hành ổn_định . Tính_năng đồng_bộ cloud thất_thường . Sau cập_nhật máy lag hơn , chăm_sóc khách_hàng chỉ_dẫn chung_chung",,,,,,,,Negative,,Negative,
