sentence,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
Điện thoại luot ban đầu thì mượt mà lướt được 5 10' !nó giật lag lắm. Giá 1tr ban đầu mình cũng không mong đợi gì nhiều nhưng cũng đáng thất vọng. Vì mình đắn đo rất nhiều moi mua. Và đọc feedback của khách nữa. Thất vọng tràn trề. Nhưng vì cửa hàng nc cũng dễ thuong nên mình cho cửa hàng 3 sao chứ chất lượng thì không hài lòng mấy,Performance,negative,positive,negative → positive,2
"Đóng gói hàng chắc chắn, điện thoại giá này thì sử dụng tương đối thôi, cũng không mượt lắm so với mấy con sách tay trong tầm tiền được. Máy chính hãng mua về cho phụ huynh sài thấy cũng ổn.",Performance,negative,positive,negative → positive,1
"Đúng với mô tả: Sản phẩm hoàn thiện, mới 100% 
Tính năng nổi bật: Thiết kế đẹp, gọn nhẹ! 
Chất lượng sản phẩm: Không phù hợp để chơi game! thiết kế đẹp ấn tượng, rất phù hợp để làm máy phụ nghe gọi, lướt tiktok, facebook. Nhưng không sử dụng để chơi game rất lag, ai mua chơi game thì cần phải xem xét kỹ, đừng nghe các youtuber review!!!",Performance,negative,positive,negative → positive,1
Chất lượng sản phẩm chất lượng kém so với giá. Đúng với mô tả thiếu 1 số phụ kiện. Tính năng nổi bật camera màu lệch autofocus chậm. Review ảnh chụp bị ám vàng autofocus thường fail. Hiệu năng lướt web tốt nhưng đa nhiệm kém. Đóng gói thiếu foam bảo vệ ship bên vận chuyển làm móp. Chăm sóc khách hàng trả lời bằng mẫu không cá nhân hoá,Performance,neutral,negative,neutral → negative,1
"Thiếu tính năng quảng cáo, nhiều thứ bị disable. Khác với mô tả full tính năng. Tính năng e-sim/vòng đời sim không hoạt động. Hiệu năng bình thường nhưng pin và ship đều kém",Performance,neutral,negative,neutral → negative,1
"Đúng với mô tả: Nubia neo 2 săn live có voucher nên giá rẻ hơn thị trường nhiều. Mua để sử dụng với mục đích tác vụ bình thường. Không chơi game gì nhiều hay nặng máy. Hi vọng sử dụng bền, chứ mua điện thoại riết tốn tiền quá. Ở thanh công cụ trên kéo xuống không cài được biểu tượng tắt mở dữ liệu di động, phải vô cài đặt thì hơi bất tiện. Chế độ nhấn đúp để tắt mở màn hình chỉ sử dụng được khi màn hình đang khóa, chứ khi đang ở màn hình gốc thì nhấn đúp nó không khóa và tắt màn hình.",Performance,neutral,negative,neutral → negative,1
Hàng chính hãng. Trải nghiệm ban đầu thấy khá tốt so với poco x3 NFC đang dùng. Còn về hiệu năng và các chức năng khác phải cần thời gian để trải nghiệm thêm.,Performance,neutral,positive,neutral → positive,1
"Mình sử dụng máy các tác vụ, game cơ bản nhẹ nhàng thôi nên oke, tai nghe tặng kèm chắc đủ bộ thôi chứ minh không nghe đuợc 🥲 (ảnh tính chất lấy xu)",Performance,neutral,positive,neutral → positive,1
"Chăm sóc khách hàng không trả lời tin nhắn. Hỗ trợ kém. Dịch vụ tệ. Nhắn tin hỏi mà không thấy trả lời, gọi điện thì phải chờ lâu. Hiệu năng thì tạm ổn. Pin không tốt",Performance,positive,negative,positive → negative,1
Game oke đấy mà lâu lâu bị tắt,Performance,positive,negative,positive → negative,1
"Pin 6600 hơi ảo chắc chỉ 5000 tụt hơi ghê, qua đêm mất 1-2%, còn đâu sài khá mượt",Performance,positive,negative,positive → negative,1
"Đúng với mô tả: Không đúng lắm 
Tính năng nổi bật: Chip khoẻ 
Chất lượng sản phẩm: Bình thường cửa hàng gửi sai màu yêu cầu,cam không có góc rộng hơi mờ,sạc fake sạc cũng khá,màn cả 144hz mà lúc sử dụng được lúc không,cảm ứng không nhạy lắm,còn lại chip tốt game với tác vụ cơ bản cũng khá ngon",Performance,positive,negative,positive → negative,1
"Ưu điểm: Cấu hình cao, chơi game mượt, có nút phụ chơi game nhược điểm: Màn hình lcd bị ám vàng ở cạnh, camera chống mù, loa kép kg đều, máy nhanh nóng",Performance,positive,negative,positive → negative,1
"100% chơi 3 ván game tốc chiến setting max, không bật tiết kiệm pin, trung bình 1 ván 25p còn 31% (nhớ sử dụng sò lạnh, con này nóng điên) loa nghe hay nhưng hơi lệch không biết chỉnh ở đâu để mò thử, đang sử dụng con pova3 chuyển qua con này chơi nhạy với mượt quá không quen tay 😅, do là mua chỉ mục đích chơi game ban đêm nên là tầm giá 1tr6 chất lượng rất ổn với 1 máy cũ như này, không biết bảo hành nếu có sự cố cửa hàng hỗ trợ ra sao nhưng trước mắt 10₫",Performance,positive,neutral,positive → neutral,1
"Giao hành nhanh, máy chạy tốt, hàng gói kỹ, nói chung là sử dụng được trong tâm giá, mẫu mã hơi sến thôi",Performance,positive,neutral,positive → neutral,2
"Hiệu năng rất mạnh rất ngon trong tầm giá Màn hình đẹp pin chưa test nhưng rất xứng đáng Lần đầu mua điện thoại trên sọp pe mà cứ sợ sợ, nhưng mở hàng thì biết là sốp siêu uy tín",Performance,positive,neutral,positive → neutral,1
"Hình ảnh chỉ mang tính chất nhận xu, mua dùm, nên không biết sử dụng ra sau, người đang sài kêu máy chạy mượt. Có gì sẽ đánh giá tiếp.",Performance,positive,neutral,positive → neutral,1
"Máy đẹp, chạy mượt, xài lâu máy hơi nóng. Pin đủ dùng trong ngày.",Performance,positive,neutral,positive → neutral,1
"Đối với mình thì màu màn hơi nhạt nên đã chỉnh lên saturated nhìn mới sướng con mắt 🥲 không quan tâm mấy đến chụp hình, quay video các thứ thì mình thấy chụp quay đẹp, ổn, cũng rõ nét. Mình thích loa của máy. Pin mình nghĩ nếu không chơi game có thể trụ được 1 ngày 🤔? Dùng tác vụ bình thường ctct ổn áp, rất mượt, hầu như không có lag. Có điều thông báo messenger chậm ói?? Ít thì 30p nhận, nhiều thì hơn tận 3 tiếng, thông báo zalo, gmail, tiktok.. Còn lại bình thường. Mấy ngày đầu sạc hơn 1 tiếng mới đầy và sạc đã bật speed boost lên rồi nhưng coi review hơn 30p tí là đầy nhưng mình sạc ≈45p mới đầy 🤔 Coi như tạm được đi. Mình không chơi game nặng nhưng đôi khi fps vẫn tụt. Overall sản phẩm ổn áp! Mình thích lắm.",Performance,positive,neutral,positive → neutral,1
"Nhóm màu: Vàng 
Dung lượng lưu trữ: 6gb+128gb mới mua, chờ thời gian mới biết, thấy quảng cáo trên video tưởng là được tặng củ sạc, tuy nhiên, khi mua với giá 4639k thì không được tặng gì, với giá này, mọi người có thể cân nhắc a16 5g, giá 4939k nhưng được tặng của sạc và tại nghe nhé!",Price,negative,neutral,negative → neutral,1
Giao nhanh sản phẩm chính hãng sản phẩm sử dụng được vài ngày thì xuất hiện bụi trong camera. Mua 1 cặp cả 2 cái đều bị. Quá thất vọng với 1 sản phẩm ba muoi mấy triệu,Price,negative,positive,negative → positive,1
Nhóm màu: Đen cùng tầm giá thì oppo hơi cao. Sử dụng ổn. Nói chung là cũng được,Price,negative,positive,negative → positive,1
"Nhận hàng thì cũng nhận được rồi. Điện thoại bị xước lấy về không tải được ứng dụng nào luôn mìk đã thử tải youtube từ trưa hôm qua tới giờ vẫn không được. Quá thất vọng mọi người xem cân nhắc chứ mìk thấy ở ngoài cũng ổn ổn mà lại không làm được cái gì biết là tiền nào của nấy, nhưng điện thoại mà không sài được bán làm gì",Price,negative,positive,negative → positive,1
Tạm ổn số tiền đó mua iphon 5s,Price,negative,positive,negative → positive,1
Tầm 2 triệu mà được đập hộp là ngon nhất chứ đừng mua máy xách tay (máy dựng) màn lô sử dụng được vài tháng lại hỏng phí tiền.,Price,negative,positive,negative → positive,1
Điện thoại luot ban đầu thì mượt mà lướt được 5 10' !nó giật lag lắm. Giá 1tr ban đầu mình cũng không mong đợi gì nhiều nhưng cũng đáng thất vọng. Vì mình đắn đo rất nhiều moi mua. Và đọc feedback của khách nữa. Thất vọng tràn trề. Nhưng vì cửa hàng nc cũng dễ thuong nên mình cho cửa hàng 3 sao chứ chất lượng thì không hài lòng mấy,Price,negative,positive,negative → positive,2
"Hàng về đầy đủ, đóng gói kĩ càng, không có gì phải chê hết. Hiệu năng cực đỉnh ở tầm giá, mỗi tội AI và cam hơn dỏm chút",Price,neutral,positive,neutral → positive,1
"Rất lười đánh giá sản phẩm. Nhưng cái điện thoại này nó điên thiệt. Lúc đầu rất đắng đo khi tầm 8tr thì mua được đủ điện thoại mạnh hơn gấp mấy lần nhưng mà dạo này không chơi game trên điện thoại nữa mà cần 1 cái điện thoại không phải sạc mỗi ngày 2-3 lần nữa. Đơn cử như chiếc samsung s22ultra tầm 18h thì tôi sẽ xài hết 1,5 cục pin chỉ cho việc Zalo, lướt face. Còn cái điện thoại này hãy nhìn nó xem mới hết 35% có nghĩa tí về tôi vẫn chơi thoải mái rồi khuya sạc 1 lần trong khi cái s22ultra kia tôi về chơi thêm xíu phải sạc lần nữa xong bấm 1 tí rồi khuya sạc để sáng mai xài. Nói chung là những cái khác chưa biết nhưng cục pin phải nói là bá đạo.",Price,neutral,positive,neutral → positive,1
"Tính năng nổi bật: Máy đóng góp kĩ sản phẩm đúng mô tả nha mọi người. Cửa hàng rất nhiệt tình, uy tính ạ. Mình mua được 17xx.",Price,neutral,positive,neutral → positive,1
Mua được tặng full quà mà chỉ hơn 8 triệu.,Price,positive,negative,positive → negative,1
"Giao hành nhanh, máy chạy tốt, hàng gói kỹ, nói chung là sử dụng được trong tâm giá, mẫu mã hơi sến thôi",Price,positive,neutral,positive → neutral,2
"Máy đẹp nguyên zin, pin còn tầm hơn 90%, màn hình đẹp hầu như không trầy xước, ngoại hình máy ổn, nói chung rất đáng mua. Cửa hàng hỗ trợ rất nhiệt tình.",Price,positive,neutral,positive → neutral,1
Trong tầm giá độ bền chưa biết,Price,positive,neutral,positive → neutral,1
"Đúng với mô tả: Hmmmm 
Chất lượng sản phẩm: Tốt
Lúc order thì hết màu tím, nên đành phải chọn màu đen. Ngủ dậy sáng hôm sau thì đã có hàng mới màu tím, nhắn tin hỏi cửa hàng có đổi không thì được báo là sẽ note cho bên kho để họ đổi lại đơn. Mà khi nhận vẫn là màu đen, cũng không có confirm trước đó là đổi thành công hay như nào. Tai nghe được tặng thì cũng không có gì đánh giá, có cũng được mà không có cũng chả sao, vì không kì vọng gì nhiều hàng tặng kèm. Còn lại điện thoại cũng tốt, mượt và giá rẻ. Phải tốn 1 chút thao tác để loại bỏ quảng cáo trên điện thoại tàu.",Price,positive,neutral,positive → neutral,1
"Chất lượng sản phẩm khá tốt. Hàng sau khi nhận hài lòng. Chất lượng thì mới sử dụng nên chưa đánh giá dược. Về giá cả so sánh thì thấy rẻ hơn các cửa hàng khác. Thời gian tư khi đặt hàng đến khi nhận hàng tuy đặt hỏa tốc nhưng mất 3 ngày, sản phẩm được cửa hàng chuẩn bị đóng gói khá cẩn thận. Sẽ tiếp tục ủng hộ mua hàng của cửa hàng.",Shipping,negative,positive,negative → positive,1
"Đã nhận được hàng. Cửa hàng có hàng giao nhanh nhưng đội vận chuyển làm vận chuyển chậm quá, mãi mới nhận được. Máy rất đẹp, nhanh, mượt. Quá tuyệt vời. Cho cửa hàng 100sao.",Shipping,negative,positive,negative → positive,1
"Nhìn ảnh đặt hàng là màu trắng tưởng giao màu trắng nhưng giao màu đen nhưng không sao,nếu màu trắng thì ưng hơn xíu,được cái chất lượng",Shipping,neutral,negative,neutral → negative,1
Phiên bản: Ram 4/64gb hàng tốt đã khui để cài tiếng việt. Còn full. Giao hàng hơi lâu nhưng có là được. Zzzzzzzzzzzzzz,Shipping,neutral,negative,neutral → negative,1
Dùng 1 tháng mới dám đánh giá. Lần đầu mua điện thoại qua mạng. Bà giao hàng còn rén cứ hỏi có chắc chắn không. Sợ giao hàng đểu. Nhưng clickbuy làm ăn uy tin lắm. Gửi hàng nhanh đúng đủ. Đóng gói cẩn thận. Điện thoại xiaomi thì cũng uy tín rồi. Bá trong tầm giá. À mà quất được mã hơn củ nên còn hơn 3củ thôi. Mua đi mọi người,Shipping,neutral,positive,neutral → positive,1
"Chưa bao giờ nghĩ là sẽ mua 1 thứ giá trị như vậy trên shopee. Nhưng ho vọng là điện thoại không có vấn đề gì, trộm vía đơn hàng không có vấn đề, nhưng màu đen không đẹp lắm 😅 cửa hàng giao nhanh thần tốc nha hix, mua bị đắt hơn ngày sale gần 1 củ, biết thế đợi sale rồi mua",Shipping,positive,negative,positive → negative,1
"Shipping cực chậm. Giao hàng muộn 3 ngày. Vận chuyển quá lâu. Đã hẹn giao ngày x nhưng tận ngày x+3 mới nhận được. Chăm sóc khách hàng rất khó liên lạc, gọi không nghe máy",Shipping,positive,negative,positive → negative,1
Chăm sóc khách hàng trả lời lâu. Phản hồi chậm. Dịch vụ tệ. Nhắn tin từ sáng mà đến chiều tối mới trả lời. Pin sử dụng tạm ổn,Shop_Service,negative,positive,negative → positive,1
"Nhóm màu: Đen hàng nhận đúng yêu cầu, oke. Hàng 99% nên chỉ có máy và sạc. Nói chung là ổn trong tầm giá. Bảo hành 6 tháng mà không bảo hành nguồn, với màn hình là hơi lo.. Đang test máy xem thế nào.",Shop_Service,negative,positive,negative → positive,1
"Pin tụt quá nhanh. Không được như quảng cáo. Pin kém. Mới dùng 2-3h đã hết pin rồi, không đủ nhu cầu. Chăm sóc khách hàng khó liên lạc. Shipping thì đúng hẹn",Shop_Service,negative,positive,negative → positive,1
"Chất lượng sản phẩm: Như mới 
Tính năng nổi bật: Màu đen máy tốt, tuy nhiên sử dụng được 16 ngày thì màn hỏng, hết bảo hành thì mình chấp nhận, cách giải quyết của cửa hàng cũng hơp lý tuy nhiên cửa hàng nên lưu ý khi giao máy cho khách hoặc dưới mô tả điện thoại.",Shop_Service,neutral,negative,neutral → negative,1
"Chỉ nghe, gọi thôi, sử dụng 30 phút là có máy nóng, camera rất mờ, có thể đã hỏng hoặc đã đổi. Mùa về cho bea lớp 9 bé chê, mình nghỉ trả lại cho cửa hàng thì thấy cũng phiền, để mình yêu cầu cửa hàng đổi cho mình sem có được không. Niếu được thì tốt mình sẽ sữa lại đánh giá.",Shop_Service,neutral,negative,neutral → negative,1
"Đúng với mô tả: Không hẳn sau 1 tg nhận máy thì mình thấy máy khá ổn nhưng máy chỉ có 64gb thôi nhé không ph 128gb đâu ạ. Có trao đổi với cửa hàng và cửa hàng nch rất điện thoại, nhưng nên cân nhắc nhé ạ 64gb không ph 128gb",Shop_Service,positive,negative,positive → negative,1
"Cửa hàng giao sản phẩm đã bóc seal nhưng không sao, đủ bảo hành là được",Shop_Service,positive,neutral,positive → neutral,1
